battle_id,win,turns,damage_taken,final_hp
987,True,3,16,80
988,True,4,24,80
989,True,3,24,80
990,True,4,24,80
991,True,4,24,80
992,True,3,24,80
993,True,4,24,80
994,True,4,24,80
995,True,4,32,80
996,True,4,24,80
997,True,4,24,80
998,True,4,24,80
999,True,4,32,80
1000,True,4,32,80
1001,True,4,24,80
1002,True,3,16,80
1003,True,4,24,80
1004,True,4,24,80
1005,True,4,32,80
1006,True,4,24,80
1007,True,3,24,80
1008,True,4,24,80
1009,True,5,32,80
1010,True,4,24,80
1011,True,3,24,80
1012,True,4,24,80
1013,True,4,24,80
1014,True,4,24,80
1015,True,4,24,80
1016,True,3,24,80
1017,True,4,24,80
1018,True,4,24,80
1019,True,4,24,80
1020,True,4,24,80
1021,True,4,32,80
1022,True,4,24,80
1023,True,4,24,80
1024,True,4,24,80
1025,True,4,24,80
1026,True,4,24,80
1027,True,4,24,80
1028,True,4,24,80
1029,True,4,24,80
1030,True,4,24,80
1031,True,4,24,80
1032,True,4,24,80
1033,True,4,24,80
1034,True,4,24,80
1035,True,4,24,80
1036,True,4,24,80
1037,True,4,24,80
1038,True,3,24,80
1039,True,3,24,80
1040,True,4,24,80
1041,True,4,24,80
1042,True,4,24,80
1043,True,4,24,80
1044,True,4,24,80
1045,True,4,24,80
1046,True,4,24,80
1047,True,4,24,80
1048,True,4,24,80
1049,True,4,32,80
1050,True,4,24,80
1051,True,4,24,80
1052,True,4,24,80
1053,True,4,24,80
1054,True,4,24,80
1055,True,3,24,80
1056,True,4,24,80
1057,True,4,24,80
1058,True,3,24,80
1059,True,4,24,80
1060,True,4,24,80
1061,True,4,24,80
1062,True,4,24,80
1063,True,4,24,80
1064,True,4,32,80
1065,True,4,24,80
1066,True,4,24,80
1067,True,4,24,80
1068,True,4,24,80
1069,True,4,24,80
1070,True,4,24,80
1071,True,4,32,80
1072,True,4,24,80
1073,True,4,24,80
1074,True,4,24,80
1075,True,4,24,80
1076,True,4,24,80
1077,True,4,24,80
1078,True,4,24,80
1079,True,3,24,80
1080,True,4,24,80
1081,True,4,24,80
1082,True,4,24,80
1083,True,4,24,80
1084,True,3,16,80
1085,True,4,24,80
1086,True,4,24,80
1087,True,3,24,80
1088,True,4,24,80
1089,True,4,24,80
1090,True,4,24,80
1091,True,4,24,80
1092,True,4,24,80
1093,True,4,24,80
1094,True,4,24,80
1095,True,4,24,80
1096,True,4,24,80
1097,True,4,24,80
1098,True,4,24,80
1099,True,4,32,80
1100,True,4,24,80
1101,True,3,24,80
1102,True,4,24,80
1103,True,4,24,80
1104,True,4,24,80
1105,True,4,32,80
1106,True,4,24,80
1107,True,4,24,80
1108,True,4,24,80
1109,True,4,24,80
1110,True,4,24,80
1111,True,4,32,80
1112,True,4,24,80
1113,True,4,24,80
1114,True,4,24,80
1115,True,4,24,80
1116,True,4,24,80
1117,True,4,24,80
1118,True,4,24,80
1119,True,4,24,80
1120,True,4,24,80
1121,True,4,24,80
1122,True,3,24,80
1123,True,4,24,80
1124,True,4,24,80
1125,True,4,24,80
1126,True,3,24,80
1127,True,4,24,80
1128,True,4,24,80
1129,True,4,24,80
1130,True,4,24,80
1131,True,3,24,80
1132,True,4,24,80
1133,True,4,24,80
1134,True,3,16,80
1135,True,4,24,80
1136,True,4,24,80
1137,True,4,24,80
1138,True,4,24,80
1139,True,4,24,80
1140,True,4,24,80
1141,True,4,24,80
1142,True,4,24,80
1143,True,4,24,80
1144,True,4,24,80
1145,True,3,24,80
1146,True,4,32,80
1147,True,4,24,80
1148,True,3,24,80
1149,True,4,24,80
1150,True,4,24,80
1151,True,4,32,80
1152,True,4,32,80
1153,True,4,24,80
1154,True,4,24,80
1155,True,4,24,80
1156,True,3,24,80
1157,True,4,24,80
1158,True,4,24,80
1159,True,4,24,80
1160,True,4,24,80
1161,True,4,24,80
1162,True,4,24,80
1163,True,4,24,80
1164,True,4,24,80
1165,True,4,24,80
1166,True,4,24,80
1167,True,4,24,80
1168,True,4,24,80
1169,True,4,24,80
1170,True,4,32,80
1171,True,4,32,80
1172,True,4,24,80
1173,True,3,24,80
1174,True,3,24,80
1175,True,4,24,80
1176,True,4,24,80
1177,True,4,24,80
1178,True,4,24,80
1179,True,4,24,80
1180,True,4,24,80
1181,True,4,24,80
1182,True,4,24,80
1183,True,4,24,80
1184,True,4,24,80
1185,True,4,24,80
1186,True,4,24,80
1187,True,4,24,80
1188,True,4,24,80
1189,True,4,32,80
1190,True,4,24,80
1191,True,4,24,80
1192,True,4,24,80
1193,True,4,24,80
1194,True,4,24,80
1195,True,4,24,80
1196,True,4,32,80
1197,True,4,24,80
1198,True,4,24,80
1199,True,3,24,80
1200,True,3,24,80
1201,True,4,24,80
1202,True,4,24,80
1203,True,4,24,80
1204,True,4,32,80
1205,True,4,24,80
